Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice01,Chrome 94.0.4606.61,,,2021-10-05 16:25:54,2021-10-05 16:26:37,43.072s,PASSED
,,,,,,,
Test Cases/TestCase01,Chrome 94.0.4606.61,,,2021-10-05 16:25:54,2021-10-05 16:26:08,14.138s,PASSED
helper_browser.Browser.launchUrl(cura_url),Chrome 94.0.4606.61,,,2021-10-05 16:25:55,2021-10-05 16:25:59,4.679s,PASSED
helper_makeappointment.Appointment.clickMakeApButton(),Chrome 94.0.4606.61,,,2021-10-05 16:25:59,2021-10-05 16:26:00,0.977s,PASSED
"helper_login.Login.login_curasite(findTestData(""test/Facility_option"").getValue(1, 1), findTestData(""test/Facility_option"").getValue(2, 1))",Chrome 94.0.4606.61,,,2021-10-05 16:26:00,2021-10-05 16:26:03,2.956s,PASSED
"helper_makeappointment.Appointment.selectFacility(findTestData(""test/Facility_option"").getValue(3, 1))",Chrome 94.0.4606.61,,,2021-10-05 16:26:03,2021-10-05 16:26:04,0.928s,PASSED
helper_makeappointment.Appointment.checkReadmission(true),Chrome 94.0.4606.61,,,2021-10-05 16:26:04,2021-10-05 16:26:05,0.751s,PASSED
"helper_makeappointment.Appointment.selectHealthcareProgram(findTestData(""test/Facility_option"").getValue(7, 1))",Chrome 94.0.4606.61,,,2021-10-05 16:26:05,2021-10-05 16:26:05,0.467s,PASSED
"helper_makeappointment.Appointment.selectDate(findTestData(""test/Facility_option"").getValue(6, 1))",Chrome 94.0.4606.61,,,2021-10-05 16:26:05,2021-10-05 16:26:06,0.756s,PASSED
"helper_makeappointment.Appointment.addComment(findTestData(""test/Facility_option"").getValue(4, 1))",Chrome 94.0.4606.61,,,2021-10-05 16:26:06,2021-10-05 16:26:07,0.566s,PASSED
helper_makeappointment.Appointment.createAppointment(),Chrome 94.0.4606.61,,,2021-10-05 16:26:07,2021-10-05 16:26:08,0.932s,PASSED
closeBrowser(),Chrome 94.0.4606.61,,,2021-10-05 16:26:08,2021-10-05 16:26:08,0.716s,PASSED
,,,,,,,
Test Cases/TestCase02,Chrome 94.0.4606.61,,,2021-10-05 16:26:08,2021-10-05 16:26:17,8.410s,PASSED
"openBrowser("""")",Chrome 94.0.4606.61,,,2021-10-05 16:26:09,2021-10-05 16:26:10,1.208s,PASSED
navigateToUrl(ww3_url),Chrome 94.0.4606.61,,,2021-10-05 16:26:10,2021-10-05 16:26:11,1.542s,PASSED
"click(findTestObject(""WW3/Link_TryYourself""))",Chrome 94.0.4606.61,,,2021-10-05 16:26:11,2021-10-05 16:26:14,2.220s,PASSED
switchToWindowTitle(tryityourself_title),Chrome 94.0.4606.61,,,2021-10-05 16:26:14,2021-10-05 16:26:14,0.653s,PASSED
"verifyElementVisible(findTestObject(""WW3/button_run""), STOP_ON_FAILURE)",Chrome 94.0.4606.61,,,2021-10-05 16:26:14,2021-10-05 16:26:16,1.661s,PASSED
closeBrowser(),Chrome 94.0.4606.61,,,2021-10-05 16:26:16,2021-10-05 16:26:17,0.731s,PASSED
,,,,,,,
Test Cases/TestCase03,Chrome 94.0.4606.61,practice,,2021-10-05 16:26:17,2021-10-05 16:26:37,20.233s,PASSED
kw_browser.Browser.loadbrowser(ebay_url),Chrome 94.0.4606.61,,,2021-10-05 16:26:17,2021-10-05 16:26:20,2.886s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Ebay/Search_button""), timeout)",Chrome 94.0.4606.61,,,2021-10-05 16:26:20,2021-10-05 16:26:21,1.076s,PASSED
"searchButton02 = findTestObject(""Object Repository/Ebay/Search_button"")",Chrome 94.0.4606.61,,,2021-10-05 16:26:21,2021-10-05 16:26:21,0.044s,PASSED
"searchButton02.addProperty(""xpath"", EQUALS, ""//input[@value='Buscar']"", true)",Chrome 94.0.4606.61,,,2021-10-05 16:26:21,2021-10-05 16:26:21,0.007s,PASSED
"setText(findTestObject(""Object Repository/Ebay/Search_bar""), ""Laptop Lenovo"")",Chrome 94.0.4606.61,,,2021-10-05 16:26:21,2021-10-05 16:26:22,1.520s,PASSED
"click(findTestObject(""Object Repository/Ebay/Search_button""))",Chrome 94.0.4606.61,,,2021-10-05 16:26:22,2021-10-05 16:26:26,3.306s,PASSED
delay(3),Chrome 94.0.4606.61,,,2021-10-05 16:26:26,2021-10-05 16:26:29,3.029s,PASSED
"setText(findTestObject(""Object Repository/Ebay/Search_bar""), ""iphone13"")",Chrome 94.0.4606.61,,,2021-10-05 16:26:29,2021-10-05 16:26:30,1.446s,PASSED
click(searchButton02),Chrome 94.0.4606.61,,,2021-10-05 16:26:30,2021-10-05 16:26:33,2.570s,PASSED
delay(3),Chrome 94.0.4606.61,,,2021-10-05 16:26:33,2021-10-05 16:26:36,3.015s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Ebay/Search_button""), timeout)",Chrome 94.0.4606.61,,,2021-10-05 16:26:36,2021-10-05 16:26:36,0.364s,PASSED
"searchButton04 = modifyObjectProperty(findTestObject(""Object Repository/Ebay/Search_button""), ""xpath"", EQUALS.toString(), ""//*[@type='submit']"", true)",Chrome 94.0.4606.61,,,2021-10-05 16:26:36,2021-10-05 16:26:36,0.048s,PASSED
closeBrowser(),Chrome 94.0.4606.61,,,2021-10-05 16:26:36,2021-10-05 16:26:37,0.771s,PASSED
